,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,2491.0523954568425,2491.0523954568425,2491.0523954568425,0.0,0.25056996886890043,0.0
jupiter,4.090802108206288,4.091106887029673,2495.1435023438726,4.091106887029813,0.25098148511287505,0.00041151624397461585
saturn,0.492022639186156,0.49201011222076163,2495.6355124560932,4.5831169992504375,0.25103097542416963,0.00046100655526918954
uranus,0.043381491204496456,0.04338021416965973,2495.6788926702625,4.62649721342002,0.25103533895298735,0.00046537008408691543
neptune,0.008683532462741856,0.008683344850332588,2495.6875760151133,4.635180558270353,0.2510362123932461,0.00046624352434567444
