,dl_vn
0,891.9979197671812
1,702.7628712355498
2,688.7151499318068
3,988.5499300285095
4,619.0916732555171
5,1404.0243725511486
6,645.9024716622981
7,725.0334983841574
8,1252.1438674152566
9,1179.1515621280298
10,111.13475101180994
11,112.43362207589185
12,89.10878421612777
13,98.17136293794873
14,99.35892797818035
15,88.70963778553873
16,97.72148709537025
17,96.90393955837982
18,111.81348751013316
19,97.26993975881537
20,97.05106325592888
21,97.15260043332655
22,95.92676131931948
23,110.83655447472243
24,88.14892835522761
25,110.42783107757728
26,110.243120159547
27,96.1492049672392
28,96.00360443559121
29,96.42935889870276
30,96.37458930456411
31,96.60404038329628
32,108.8345523507065
33,108.42160211383043
34,95.7144014609513
35,95.79069129726463
36,87.01672603737605
37,86.412447427858
38,94.86534509373992
39,107.44848099269814
40,94.47219496393048
41,94.99995938655186
42,107.01652608455998
43,93.78563814675233
44,106.38079706040833
45,94.92291854197758
46,93.5974403102609
47,85.36390412210203
48,105.8527492708501
49,84.74037238248367
50,93.01885028795107
51,104.85521621631781
52,92.87645788176229
53,93.25429064608466
54,84.14880431847342
55,92.23367979709873
56,103.61885549964084
57,103.98210393490207
58,91.834087261714
59,90.47295450493957
60,90.57502661432261
