,chi,dl_vn,dl,dl_er,dl_er_c1,dlq,dlq_er,dlq_er_c2,centroid
sun,958951970.0,1751691.93,1751691.93,1751700.21,10.953568,0.0,0.0,8.4224e-05,1745302.15
jupiter,15538820.0,16638.67,26267.43,16638.67,0.000988,245.19,245.19,0.0,17091.39
saturn,7619765.0,5981.17,11204.94,5981.17,0.000128,97.48,97.48,0.0,6166.15
uranus,1731888.0,2097.39,7792.68,2097.39,1.6e-05,7.01,7.01,0.0,2106.28
neptune,1092777.0,2548.71,11338.94,2548.71,2.3e-05,8.69,8.69,0.0,2554.11
bh $7m_\odot$,137642.0,138056.05,138056.05,138056.05,0.068037,0.52,0.52,4.1e-08,45882.83
bh $20m_\odot$,232657.0,233357.31,233357.31,233357.31,0.194392,0.31,0.31,1.99e-07,77552.75
pl $3m_J$,1701.0,1714.47,1714.47,1714.47,1e-05,0.09,0.09,0.0,-0.0
