,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,5857.2,5857.2,5857.2,0.0,3.0053,0.0
jupiter,0.75,0.75,5857.94,0.75,3.0057,0.0004
saturn,0.12,0.12,5858.07,0.87,3.0058,0.0004
uranus,0.01,0.01,5858.08,0.88,3.0058,0.0005
neptune,0.01,0.01,5858.08,0.89,3.0058,0.0005
