,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,7031.91,7031.91,7031.91,0.0,8.397157705,0.0
jupiter,0.68,0.68,7032.59,0.68,0.000813165,-8.39634454
saturn,0.11,0.11,7032.71,0.79,0.000134939,-8.397022766
uranus,0.01,0.01,7032.71,0.8,9.339e-06,-8.397148365
neptune,0.01,0.01,7032.72,0.81,9.456e-06,-8.397148249
