,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,1751691.93,1751691.93,1751691.93,0.0,2.28,0.0
jupiter,16638.67,26267.43,1777959.37,26267.43,2.31,0.03
saturn,5981.17,11204.94,1789164.3,37472.37,2.33,0.05
uranus,2097.39,7792.68,1796956.99,45265.06,2.34,0.06
neptune,2548.71,11338.94,1808295.93,56604.0,2.35,0.07
