,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,1751682.523618879,1751682.523618879,1751682.523618879,0.0,330.99618649446813,0.0
earth,574.2966639733886,570.8965205722434,1752253.4201394513,570.8965205720862,331.1040625328738,0.10787603840563746
jupiter,16638.66896071453,26271.376562972615,1778524.7967024238,26842.27308354466,336.06827570452725,5.072089210059103
saturn,5981.1749403431595,11206.199207562546,1789730.9959099863,38048.47229110728,338.1857879550563,7.189601460588118
uranus,2097.393224242276,7793.399165103656,1797524.3950750898,45841.87145621083,339.6584209057745,8.66223441130636
neptune,2548.713963075703,11339.660640475948,1808864.0557155658,57181.532096686875,341.8011518958541,10.80496540138594
