,defl[muas],dr[AU]
TOI-178,1707900.7,107.0837
TOI-178 b,762.47,0.0478
TOI-178 c,1676.15,0.1051
TOI-178 d,688.07,0.0431
TOI-178 f,1981.14,0.1242

