,dl_vn,dl,dl_er,dl_er_c1,dlq,dlq_er,dlq_er_c2,centroid
sun,1751691.9312035684,1751691.9312035684,1751700.2134953353,1751711.1670628735,0.0,0.0,8.422428715589798e-05,8783512453.934874
jupiter,16638.668984298372,26267.433828937053,16638.669004972995,16638.669993237483,199.7798346564878,245.18742692138514,245.18742692145614,6933208180.501492
saturn,5981.174942382577,11204.93993243955,5981.174944184169,5981.175071889503,96.95830615572703,97.48118928491935,97.48118928492276,5957653779.169199
uranus,2097.3932242792303,7792.682674664365,2097.3932243391364,2097.393240042611,0.7956578705496254,7.012487428309188,7.012487428309188,7208460982.221159
neptune,2548.71396309358,11338.941967171448,2548.713963164353,2548.71398635315,5.153925852095372,8.693663328622849,8.69366332862319,9982521952.957819
bh_7m,121985406.69710824,121985406.69710824,121985406.69707626,122038525.92836125,1797576.9530883508,1797576.9530876384,1797605.3965270114,-27841.758028585977
