,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,6183.557015956287,6183.557015956287,6183.557015956287,0.0,1.0580622671404238,0.0
jupiter,0.7137124004150074,0.7137271078064634,6184.270743064094,0.7137271078070396,1.0581843922732328,0.00012212513280914335
saturn,0.12355369818287543,0.12355244356575,6184.39429550766,0.837279551373084,1.0582055332084928,0.00014326606806896143
uranus,0.008519139477854307,0.00851908302743784,6184.402814590689,0.845798634401174,1.0582069909002838,0.000144723759860098
neptune,0.007507605835958685,0.0075076984302547625,6184.410322289118,0.8533063328310607,1.0582082755350664,0.00014600839464258385
