,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,48092.31085113977,48092.31085113977,48092.31085113977,0.0,197.17847471558565,0.0
jupiter,0.628545503225143,0.6286086008394205,48092.93945974061,0.6286086008396514,197.18105201085206,0.002577295266395421
saturn,0.07434865633074594,0.07435117493586224,48093.013810915545,0.7029597757743041,197.18135685066963,0.0028821350839798292
uranus,0.005376334952848355,0.0053765453163611985,48093.019187460864,0.7083363210919744,197.18137889450546,0.0029041789198161086
neptune,0.012879809714627868,0.01287992624752626,48093.03206738712,0.7212162473379214,197.18143170220313,0.0029569866174633938
