,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,10608.28,10608.28,10608.28,0.0,0.2161,0.0
jupiter,0.75,0.75,10609.03,0.75,0.2161,0.0
saturn,0.09,0.09,10609.12,0.83,0.2161,0.0
uranus,0.01,0.01,10609.12,0.84,0.2161,0.0
neptune,0.01,0.01,10609.13,0.85,0.2161,0.0
