,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,6183.56,6183.56,6183.56,0.0,1.058062267,0.0
jupiter,0.71,0.71,6184.27,0.71,0.000122125,-1.057940142
saturn,0.12,0.12,6184.39,0.84,2.1141e-05,-1.058041126
uranus,0.01,0.01,6184.4,0.85,1.458e-06,-1.058060809
neptune,0.01,0.01,6184.41,0.85,1.285e-06,-1.058060983
