pl,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,1751682.5236101449,1751682.5236101449,1751682.5236101449,0.0,2.27928029686471,0.0
earth,574.2966639732939,570.8965205721616,1752253.4201307169,570.8965205720862,2.2800231444831285,0.0007428476184183428
jupiter,16638.668960714396,26271.376562970647,1778524.7966936876,26842.273083542914,2.3142073246438595,0.03492702777914917
saturn,5981.1749403431395,11206.19920756212,1789730.99590125,38048.47229110519,2.328788773457938,0.04950847659322783
uranus,2097.3932242422757,7793.39916510361,1797524.3950663533,45841.87145620873,2.33892950439702,0.05964920753230971
neptune,2548.713963075702,11339.660640475908,1808864.0557068293,57181.53209668478,2.3536846125416746,0.07440431567696429
