,dl_vn,dl,dl_er,dl_er_c1,dlq,dlq_er,dlq_er_c2,centroid
sun,1751691.9312035209,1751691.9312035209,1751700.2134953353,1751711.1670628735,0.0,0.0,8.422428715589798e-05,960697271.6838734
jupiter,16638.6689843167,26267.433828987214,16638.669004972995,16638.669993237483,199.77983465681785,245.18742692138514,245.18742692145614,15555911.89886211
saturn,5981.174942398638,11204.939932497697,5981.174944184169,5981.175071889503,96.95830615611766,97.48118928491935,97.48118928492276,7625930.210336815
uranus,2097.393224306791,7792.682674916441,2097.3932243391364,2097.393240042611,0.7956578705653085,7.012487428309188,7.012487428309188,1733994.454844553
neptune,2548.7139631487044,11338.941967796918,2548.713963164353,2548.71398635315,5.153925852262576,8.693663328622849,8.69366332862319,1095329.2547893897
bh_7m,43922.31047756519,43922.31047756519,43922.31047756561,43922.31736418974,8.391109502479392e-05,8.391109756854615e-05,8.391242429604866e-05,57789.90275680716
bh_20m,127943.49711864181,127943.49711864181,127943.49711865246,127943.55555357317,0.00025407070716239555,0.0002540706971965115,0.0002541035214176847,169758.7401680824
pl_1j,551.1240117955211,551.1240117955211,551.1240117955213,551.1240128797843,0.000990029051739678,0.0009900290517189962,0.0009900290517189962,-5.204463349345404e-07
