,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,40823.99,40823.99,40823.99,0.0,102.059977481,0.0
jupiter,0.64,0.64,40824.63,0.64,0.001601739,-102.058375742
saturn,0.07,0.07,40824.71,0.72,0.000187287,-102.059790194
uranus,0.01,0.01,40824.71,0.72,1.359e-05,-102.059963892
neptune,0.01,0.01,40824.73,0.73,3.3194e-05,-102.059944287
