,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,11949.134781307499,11949.134781307499,11949.134781307499,0.0,0.24343976731928277,0.0
jupiter,0.5574823962344445,0.5575164158348457,11949.692297723333,0.5575164158348074,0.24345112560329507,1.1358284012300449e-05
saturn,0.08774781891415534,0.08774580594783976,11949.780043529283,0.6452622217826228,0.2434529132489258,1.3145929643033244e-05
uranus,0.00595586955889756,0.00595585339109124,11949.785999382671,0.6512180751734407,0.24345303458754905,1.3267268266302415e-05
neptune,0.008347705344210272,0.008347882548748171,11949.794347265222,0.6595659577227544,0.24345320465899128,1.343733970851475e-05
