,dl_vn,dl,dl_er,dl_er_c1,dlq,dlq_er,dlq_er_c2,centroid
sun,1751691.931203549,1751691.931203549,1751700.2134953353,1751711.1670628735,0.0,0.0,8.422428715589798e-05,4834862812950.471
jupiter,16638.668984298372,26267.433828937053,16638.669004972995,16638.669993237483,199.7798346564878,245.18742692138514,245.18742692145614,6310333416580.976
saturn,5981.174942382576,11204.93993243955,5981.174944184169,5981.175071889503,96.95830615572703,97.48118928491935,97.48118928492276,7368073557094.702
uranus,2097.3932242792303,7792.682674664365,2097.3932243391364,2097.393240042611,0.7956578705496254,7.012487428309188,7.012487428309188,5934349104826.594
neptune,2548.71396309358,11338.941967171448,2548.713963164353,2548.71398635315,5.153925852095372,8.693663328622849,8.69366332862319,4280983524970.659
bh_7m,44961.352403117926,44961.352403117926,44961.35240311836,44961.359619421295,9.000817456003735e-05,9.000817481233508e-05,9.000959981594889e-05,274971653267.5172
bh_20m,128918.93815484442,128918.93815484442,128918.93815485512,128918.99748418786,0.0002599262277096485,0.00025992622813808417,0.00025995979488987607,274975992910.37555
pl_1j,589.176351360916,589.176351360916,589.1763513609143,589.1763526000722,0.0012095835149592096,0.0012095835149294391,0.0012095835149294391,-216.90845650352222
