,dl,dlt,dr
jupiter,199.70179925779055,199.70179925779055,0.4594199812147065
saturn,95.89196890448146,295.593768162272,0.6800223329034306
uranus,0.42282149502851357,296.0165896573005,0.6809950464394384
neptune,3.609427803054917,299.6260174603554,0.6892986434006992
