,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,40823.99091614877,40823.99091614877,40823.99091614877,0.0,102.05997748103748,0.0
jupiter,0.6406314848324306,0.6406955066982613,40824.63161165546,0.6406955066997873,102.06157921980723,0.0016017387697455157
saturn,0.07491212105732772,0.07491495510402255,40824.70652661057,0.7156104618035533,102.06176650719533,0.001789026157852928
uranus,0.005435590026572161,0.005435813301200797,40824.71196242387,0.7210462751071595,102.06178009672861,0.0018026156911322
neptune,0.01327761074750726,0.013277714856567273,40824.72524013873,0.7343239899653461,102.06181329101582,0.0018358099783378117
