,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,7894.448577672199,7894.448577672199,7894.448577672199,0.0,0.010272198017204024,0.0
jupiter,0.9259409393677961,0.9259958819121326,7895.374573554112,0.9259958819114589,0.010273402916186962,1.2048989829387808e-06
saturn,0.11010921384201587,0.11011389049821432,7895.484687444609,1.0361097724092039,0.010273546195565694,1.3481783616703527e-06
uranus,0.008053134121026087,0.00805339170260615,7895.492740836311,1.0441631641116176,0.010273556674579328,1.3586573753042518e-06
neptune,0.014454500213524579,0.014454537926450958,7895.507195374237,1.0586177020378467,0.010273575482717017,1.3774655129934716e-06
