,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,3873.813683319055,3873.813683319055,3873.813683319055,0.0,0.1238225763156711,0.0
jupiter,0.6960848982400627,0.696047275697025,3874.5097305947525,0.6960472756970149,0.12384482477002642,2.2248454355326147e-05
saturn,0.18900576459830137,0.18900009003373486,3874.6987306847864,0.8850473657309114,0.12385086596869652,2.8289653025418767e-05
uranus,0.011814530231657912,0.011814224384317994,3874.7105449091705,0.8968615901152961,0.12385124359855176,2.8667282880656266e-05
neptune,0.0043548814271374995,0.004354897637224453,3874.7148998068087,0.9012164877526294,0.12385138279849506,2.8806482823949185e-05
