,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,48092.31,48092.31,48092.31,0.0,197.1785,0.0
jupiter,0.63,0.63,48092.94,0.63,197.1811,0.0026
saturn,0.07,0.07,48093.01,0.7,197.1814,0.0029
uranus,0.01,0.01,48093.02,0.71,197.1814,0.0029
neptune,0.01,0.01,48093.03,0.72,197.1814,0.003
