,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,2335.02,2335.02,2335.02,0.0,0.4689,0.0
jupiter,0.39,0.39,2335.42,0.39,0.469,0.0001
saturn,0.2,0.2,2335.61,0.59,0.469,0.0001
uranus,0.02,0.02,2335.63,0.61,0.469,0.0001
neptune,0.0,0.0,2335.63,0.61,0.469,0.0001
