,dl_vn,dl,dl_er,dl_er_c1,dlq,dlq_er,dlq_er_c2,centroid
sun,1751691.9312035209,1751691.9312035209,1751700.2134953353,1751711.1670628735,0.0,0.0,8.422428715589798e-05,1745302.1530661623
jupiter,16638.6689843167,26267.433828987214,16638.669004972995,16638.669993237483,199.77983465681785,245.18742692138514,245.18742692145614,17091.391318543305
saturn,5981.174942398638,11204.939932497697,5981.174944184169,5981.175071889503,96.95830615611766,97.48118928491935,97.48118928492276,6166.1514417663875
uranus,2097.393224306791,7792.682674916441,2097.3932243391364,2097.393240042611,0.7956578705653085,7.012487428309188,7.012487428309188,2106.2819373697525
neptune,2548.7139631487044,11338.941967796918,2548.713963164353,2548.71398635315,5.153925852262576,8.693663328622849,8.69366332862319,2554.110737333408
bh_7m,137952.19864690906,137952.19864690906,137952.1986469225,137952.26658187527,0.002599858642948282,0.002599858642663328,0.0025998997875952574,45913.33719769454
bh_20m,403679.2845191381,403679.2845191381,403679.28451947606,403679.8662327198,0.007980118399150894,0.007980118426075404,0.00798114923328723,134491.80498823832
pl_1j,1711.0198327214075,1711.0198327214075,1711.0198327214075,1711.019843172125,0.02962545779906484,0.02962545779917667,0.02962545779917667,-5.204460510752712e-06
