,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,21292.493571836592,21292.493571836592,21292.493571836592,0.0,6.190494505153147,0.0
jupiter,0.647594828595799,0.6476548312086643,21293.141226667805,0.647654831209688,6.190682801731016,0.00018829657786804081
saturn,0.07828520741586298,0.07828774522442093,21293.219514413027,0.72594257643538,6.190705562797256,0.0002110576441092982
uranus,0.005676332252777066,0.005676526608385028,21293.225190939636,0.7316191030446932,6.190707213167922,0.0002127080147744675
neptune,0.012586139662108949,0.01258625727622252,21293.237777196915,0.7442053603200341,6.190710872446073,0.00021636729292527477
