,dl_vn,dl,dl_er,dl_er_c1,dlq,dlq_er,dlq_er_c2,centroid
sun,4552.552383329685,4552.552383329685,8143.853277834135,8143.853514587362,0.0,0.0,8.189675941421027e-12,7316.593431391159
jupiter,7.714545919002148,7.712735967248855,7.77568547732132,7.775685477537153,2.0387688437011006e-08,2.5024102683545145e-08,2.5024102683545145e-08,7.775489444485921
saturn,2.322659716105959,2.3219376895029384,2.328213491613965,2.328213491633315,5.7184696089007706e-09,5.749495080330189e-09,5.749495080330189e-09,2.328208102450561
uranus,0.3553697470872169,0.35521385727827465,0.3555805119467007,0.355580511947152,3.876505727355157e-12,3.417009490909215e-11,3.417009490909215e-11,0.35558045790398857
neptune,0.419420153730724,0.4191894773358467,0.41952156972034615,0.4195215697209744,2.2984896049590454e-11,3.877058105410336e-11,3.877058105410336e-11,0.4195215536662078
