,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,6001.197417487251,6001.197417487251,6001.197417487251,0.0,3.0792324070431545,0.0
jupiter,0.7653577606866921,0.7653763197330139,6001.962793806985,0.7653763197331221,3.079625123930027,0.00039271688687270395
saturn,0.12704157274319633,0.1270412297688768,6002.089835036753,0.8924175495021475,3.079690309166326,0.0004579021231718545
uranus,0.008854709259067573,0.008854691437926606,6002.098689728192,0.9012722409398528,3.0796948525350794,0.0004624454919249045
neptune,0.007974882730889837,0.007974959922383286,6002.106664688114,0.9092472008624009,3.0796989445109517,0.00046653746779736415
