,dl_vn,dl,dl_er,dl_er_c1,dlq,dlq_er,dlq_er_c2,centroid
sun,1751691.9312035607,1751691.9312035607,1751700.2134953353,1751711.1670628735,0.0,0.0,8.422428715589798e-05,4834862801248.243
jupiter,16638.668984298372,26267.433828937053,16638.669004972995,16638.669993237483,199.7798346564878,245.18742692138514,245.18742692145614,6310333445065.664
saturn,5981.174942382577,11204.93993243955,5981.174944184169,5981.175071889503,96.95830615572703,97.48118928491935,97.48118928492276,7368073369198.948
uranus,2097.3932242792303,7792.682674664363,2097.3932243391364,2097.393240042611,0.7956578705496254,7.012487428309188,7.012487428309188,5934348815073.737
neptune,2548.71396309358,11338.941967171448,2548.713963164353,2548.71398635315,5.153925852095372,8.693663328622849,8.69366332862319,4280983204052.238
bh_7m,44260.61311740002,44260.61311740002,44260.613117400455,44260.620110518765,8.586499183119738e-05,8.586499045465039e-05,8.586634994085665e-05,274952902850.66187
bh_20m,128266.17984328158,128266.17984328158,128266.17984329222,128266.2385733388,0.0002559979134804966,0.0002559979135781825,0.00025603097802985,274960231691.99695
pl_1j,562.9774971586802,562.9774971586802,562.9774971586786,562.9774982900835,0.001055292975778595,0.0010552929758129907,0.0010552929758129907,-207.26320629947807
