,dl_vn,dl,dl_er,dl_er_c1,dlq,dlq_er,dlq_er_c2,centroid
sun,1751691.9312034575,1751691.9312034575,1751700.2134953353,1751711.1670628735,0.0,0.0,8.422428715589798e-05,4834862906370.335
jupiter,16638.66898429837,26267.43382893703,16638.669004972995,16638.669993237483,199.7798346564878,245.18742692138514,245.18742692145614,6310334050876.004
saturn,5981.174942382577,11204.939932439545,5981.174944184169,5981.175071889503,96.95830615572703,97.48118928491935,97.48118928492276,7368075658683.19
uranus,2097.3932242792303,7792.682674664365,2097.3932243391364,2097.393240042611,0.7956578705496254,7.012487428309188,7.012487428309188,5934351422850.881
neptune,2548.71396309358,11338.941967171446,2548.713963164353,2548.71398635315,5.153925852095372,8.693663328622849,8.69366332862319,4280986092320.537
bh_7m,52101.9853929677,52101.9853929677,52101.985392968156,52101.9950834321,0.00014006404817823537,0.00014006405290340027,0.00014006626957568843,274364363280.54016
bh_20m,134526.70434061746,134526.70434061746,134526.70434062803,134526.76894367926,0.0002953421644485808,0.0002953421650792897,0.00029538031804960877,274966950331.7039
pl_1j,1207.4522129726065,1207.4522129726065,1207.452212972599,1207.4522181770622,0.010411415889086855,0.010411415889112633,0.010411415889112633,-444.5300635229464
