,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,7894.45,7894.45,7894.45,0.0,0.010272198,0.0
jupiter,0.93,0.93,7895.37,0.93,1.205e-06,-0.010270993
saturn,0.11,0.11,7895.48,1.04,1.43e-07,-0.010272055
uranus,0.01,0.01,7895.49,1.04,1e-08,-0.010272188
neptune,0.01,0.01,7895.51,1.06,1.9e-08,-0.010272179
