,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,122994.02,122994.02,122994.02,0.0,789.7446,0.0
jupiter,1.11,1.11,122995.13,1.11,789.7517,0.0071
saturn,0.09,0.09,122995.22,1.2,789.7523,0.0077
uranus,0.01,0.01,122995.23,1.2,789.7523,0.0077
neptune,0.01,0.01,122995.24,1.22,789.7524,0.0078
