,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,1751682.5236189347,1751682.5236189347,1751682.5236189347,0.0,4029.7982045750355,0.0
earth,574.2966639733894,570.896520572244,1752253.4201395067,570.8965205720862,4031.111569150282,1.3133645752463772
jupiter,16638.66896071453,26271.376562972633,1778524.7967024792,26842.27308354466,4091.5496592023883,61.75145462735278
saturn,5981.1749403431595,11206.199207562551,1789730.995910042,38048.47229110728,4117.329856719829,87.53165214479374
uranus,2097.393224242276,7793.399165103656,1797524.3950751456,45841.87145621083,4135.258805339004,105.46060076396842
neptune,2548.713963075703,11339.66064047595,1808864.0557156217,57181.532096686875,4161.346034887355,131.5478303123191
