,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,47959.975378956566,47959.975378956566,47959.975378956566,0.0,307.95100213355244,0.0
jupiter,0.6333845133889356,0.633448186840354,47960.6088271434,0.6334481868384098,307.95506950436317,0.004067370810690609
saturn,0.07440453668611763,0.0744072166467608,47960.68323436005,0.707855403485299,307.9555472731016,0.004545139549138717
uranus,0.005392021499918382,0.0053922383774063385,47960.68862659843,0.7132476418600083,307.9555818966642,0.0045797631117600645
neptune,0.013085807683700247,0.01308591823931618,47960.70171251667,0.7263335600984658,307.9556659213453,0.0046637877928403315
