,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,2555.194883842191,2555.194883842191,2555.194883842191,0.0,0.5130882337015618,0.0
jupiter,0.93615736747733,0.936107164909846,2556.130991007101,0.9361071649098373,0.5132762058890594,0.00018797218749774854
saturn,0.3667731669184842,0.3667764810152054,2556.497767488116,1.3028836459249409,0.5133498553386562,0.00026162163709452153
uranus,0.02080373940783497,0.020803603257208366,2556.5185710913734,1.3236872491821323,0.5133540327437213,0.0002657990421595463
neptune,0.0037840205477885037,0.0037838895612971046,2556.5223549809343,1.3274711387433369,0.513354792556299,0.000266558854737303
