,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,41974.15,41974.15,41974.15,0.0,339.9906,0.0
jupiter,1.13,1.13,41975.28,1.13,339.9998,0.0092
saturn,0.09,0.09,41975.37,1.22,340.0005,0.0099
uranus,0.01,0.01,41975.38,1.23,340.0006,0.01
neptune,0.01,0.01,41975.39,1.24,340.0007,0.0101
