,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,2736.0,2736.0,2736.0,0.0,0.2752,0.0
jupiter,0.95,0.95,2736.96,0.95,0.2753,0.0001
saturn,0.96,0.96,2737.92,1.91,0.2754,0.0002
uranus,0.06,0.06,2737.98,1.97,0.2754,0.0002
neptune,0.01,0.01,2737.98,1.98,0.2754,0.0002
