,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,29943.847458814853,29943.847458814853,29943.847458814853,0.0,242.5451645537833,0.0
jupiter,0.6504077065718143,0.6504712975946462,29944.497930112448,0.6504712975949155,242.5504333712968,0.005268817513499567
saturn,0.07629258445344492,0.07629549147062704,29944.574225603912,0.7267667890638004,242.55105136477803,0.005886810994712091
uranus,0.005531792299064662,0.005532017724270075,29944.579757621636,0.7322988067855188,242.5510961741216,0.0059316203382802
neptune,0.013323321419855422,0.013323422014920377,29944.59308104365,0.7456222287984118,242.55120409383994,0.006039540056644564
