,dl,dlt,dr
jupiter,199.7017992099626,199.7017992099626,0.03773545324755628
saturn,95.89196889908152,295.5937681090441,0.055855104264836114
uranus,0.4228214955316315,296.01658960457576,0.05593500019386538
neptune,3.6094278032918155,299.62601740786755,0.05661703407969104
