,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,3535.53,3535.53,3535.53,0.0,0.113,0.0
jupiter,0.43,0.43,3535.96,0.43,0.113,0.0
saturn,0.13,0.13,3536.09,0.56,0.113,0.0
uranus,0.01,0.01,3536.1,0.57,0.113,0.0
neptune,0.0,0.0,3536.1,0.57,0.113,0.0
