,dl_vn,dl,dl_er,dl_er_c1,dlq,dlq_er,dlq_er_c2,centroid
sun,4552.552383329686,4552.552383329686,8143.853277834135,8143.853514587362,0.0,0.0,8.189675941421027e-12,324000007216.59344
jupiter,7.7145459190021555,7.716355871718001,7.7756854773213275,7.775685477537158,2.0390744631880558e-08,2.5024102683545145e-08,2.5024102683545145e-08,39163174938.2299
saturn,2.3226597161059614,2.32338174286237,2.3282134916139676,2.328213491633318,5.718589549191406e-09,5.749495080330189e-09,5.749495080330189e-09,21548948601.569572
uranus,0.3553697470872178,0.35552563690774885,0.35558051194670154,0.35558051194715284,3.877864633200283e-12,3.417009490909215e-11,3.417009490909215e-11,10738137441.379503
neptune,0.4194201537307255,0.41965083013436794,0.41952156972034765,0.4195215697209759,2.298420197973604e-11,3.877058105410336e-11,3.877058105410336e-11,6857197121.382066
