,dl_vn,dl,dlt,dlt - sun,dr,dr - sun
sun,7031.911978963112,7031.911978963112,7031.911978963112,0.0,8.397157704754855,0.0
jupiter,0.680936024726106,0.680957103555119,7032.592936066666,0.6809571035552263,8.397970869681526,0.000813164926670554
saturn,0.11300105308691405,0.11299999588332399,7032.70593606255,0.7939570994380073,8.398105808626852,0.0009481038719969358
uranus,0.007821053604086426,0.00782101940746236,7032.713757081956,0.8017781188449469,8.398115148097194,0.0009574433423378129
neptune,0.007918525500031762,0.007918639239906157,7032.721675721195,0.8096967580848669,8.398124604140259,0.0009668993854031609
