,Proxima Cen b,Kepler-847 b,OGLE-2014-BLG-0124L b
sun,0.0,0.0,0.0
jupiter,0.0003,0.1258,1.0053
saturn,0.0001,0.05,0.3997
uranus,0.0,0.0036,0.0288
neptune,0.0,0.0045,0.0356
