epoch,ra_J_new,dec_J_new,ID,ra_s_new,dec_s_new,x_s_rel,y_s_rel,chi(arcsec),r_ang_pla,bJ,F,mterm,qterm,errpos_e,x_spin,y_spin,z_spin,theta,err_z
2019.10760866931,258.09813,-22.364378,25553,257.85674098,-22.60531699,-0.24139,-0.24094,1227.817843,17.102639,71.7911336957998,14.9,227.2848,0.000223,9.188395,0.772557,0.074428,0.367518,0.784465192465856,27.565185
2019.10760866931,258.09813,-22.364378,8960,257.8526637,-22.12649396,-0.24547,0.23788,1230.576055,17.102639,71.9524077541484,15.2,226.7754,0.000161,10.652564,0.772557,0.074428,0.367518,0.769696547091172,31.957692
2019.10760866931,258.09813,-22.364378,25662,258.34181316,-22.60417533,0.24368,-0.2398,1230.764645,17.102639,71.9634347073572,15.9,226.7406,0.000159,14.926415,0.772557,0.074428,0.367518,0.777373184683522,44.779245
2019.10760866931,258.09813,-22.364378,7287,258.36769385,-22.15187276,0.26956,0.21251,1235.70118,17.102639,72.2520764193175,15.4,225.8348,0.000232,11.417103,0.772557,0.074428,0.367518,0.667602236279342,34.251309
2019.10760866931,258.09813,-22.364378,8578,258.35030307,-22.13078158,0.25217,0.2336,1237.459895,17.102639,72.3549093797747,15.5,225.5139,0.000222,12.068072,0.772557,0.074428,0.367518,0.747188800949177,36.204216
2019.10760866931,258.09813,-22.364378,26695,258.36686748,-22.57935422,0.26873,-0.21498,1238.899367,17.102639,72.4390760396685,15.2,225.2518,0.000174,10.652564,0.772557,0.074428,0.367518,0.674731866042628,31.957692
2019.10760866931,258.09813,-22.364378,52542,257.84462901,-22.59830451,-0.25351,-0.23393,1241.799208,17.102639,72.6086312176735,15.2,224.7258,0.00022,10.457482,0.772557,0.074428,0.367518,0.745250701010677,31.372446
2019.10760866931,258.09813,-22.364378,26694,258.36865952,-22.57940057,0.27052,-0.21502,1244.047463,17.102639,72.7400878308897,15.6,224.3197,0.000172,12.994147,0.772557,0.074428,0.367518,0.671586407068397,38.982441
2019.10760866931,258.09813,-22.364378,8520,257.84159247,-22.13142176,-0.25654,0.23296,1247.50871,17.102639,72.9424687032218,15.3,223.6973,0.00016,11.312076,0.772557,0.074428,0.367518,0.737263768717838,33.936228
2019.10760866931,258.09813,-22.364378,26165,257.83520163,-22.59099935,-0.26293,-0.22662,1249.624397,17.102639,73.0661739980596,14.9,223.3186,0.00022,9.188395,0.772557,0.074428,0.367518,0.711363568547314,27.565185
2019.10760866931,258.09813,-22.364378,9560,257.85365911,-22.1173057,-0.24448,0.24707,1251.297569,17.102639,73.1640052158032,13.6,223.02,0.000149,5.086808,0.772557,0.074428,0.367518,0.790667161529482,15.260424
2019.10760866931,258.09813,-22.364378,25655,257.84556031,-22.60329881,-0.25257,-0.23892,1251.623949,17.102639,73.1830888203861,14.7,222.9618,0.000214,8.533635,0.772557,0.074428,0.367518,0.757632609456426,25.600905
2019.10760866931,258.09813,-22.364378,8226,257.83501243,-22.13616757,-0.26312,0.22821,1253.885623,17.102639,73.3153300493567,15.8,222.5597,0.000161,14.31835,0.772557,0.074428,0.367518,0.714465326317373,42.95505
2019.10760866931,258.09813,-22.364378,9561,257.85117248,-22.11816407,-0.24696,0.24621,1255.426418,17.102639,73.4054211165891,15.2,222.2865,0.000149,10.80126,0.772557,0.074428,0.367518,0.783877390800144,32.40378
2019.10760866931,258.09813,-22.364378,8609,258.35633508,-22.13003001,0.2582,0.23435,1255.293944,17.102639,73.3976752944385,15.5,222.31,0.000214,12.012435,0.772557,0.074428,0.367518,0.737014473837816,36.037305
2019.10760866931,258.09813,-22.364378,26098,257.83154089,-22.59213607,-0.26659,-0.22776,1262.29056,17.102639,73.8067709901378,15.8,221.0778,0.000214,13.79868,0.772557,0.074428,0.367518,0.707011519255271,41.39604
2019.10760866931,258.09813,-22.364378,8972,258.3551994,-22.12509032,0.25706,0.23929,1264.318205,17.102639,73.9253284244613,15.3,220.7232,0.000208,11.002758,0.772557,0.074428,0.367518,0.749612097758457,33.008274
2019.10760866931,258.09813,-22.364378,9363,257.84695563,-22.11846873,-0.25118,0.24591,1265.454876,17.102639,73.9917901558935,15.1,220.5249,0.000147,10.031515,0.772557,0.074428,0.367518,0.774796858662167,30.094545
2019.10760866931,258.09813,-22.364378,25471,257.84371888,-22.60767631,-0.25442,-0.2433,1267.288112,17.102639,74.0989803971188,14.4,220.2059,0.000205,7.394916,0.772557,0.074428,0.367518,0.76306000070387,22.184748
2019.10760866931,258.09813,-22.364378,26191,258.36791495,-22.59035104,0.26978,-0.22597,1266.895948,17.102639,74.076050368601,15.3,220.2741,0.000159,11.312076,0.772557,0.074428,0.367518,0.697255980343435,33.936228
2019.10760866931,258.09813,-22.364378,8569,257.83194664,-22.13074342,-0.26619,0.23364,1275.039814,17.102639,74.5522263552426,15,218.8672,0.000152,9.847811,0.772557,0.074428,0.367518,0.720367847014878,29.543433
2019.10760866931,258.09813,-22.364378,8789,258.36195454,-22.1276956,0.26382,0.23668,1275.943262,17.102639,74.6050514192576,14.6,218.7122,0.000204,7.889023,0.772557,0.074428,0.367518,0.731225444713347,23.667069
2019.10760866931,258.09813,-22.364378,25815,258.36391726,-22.59924411,0.26578,-0.23487,1276.867757,17.102639,74.6591071120662,15.3,218.5539,0.000151,11.002758,0.772557,0.074428,0.367518,0.723736692545942,33.008274
2019.10760866931,258.09813,-22.364378,25368,257.84058922,-22.6098985,-0.25755,-0.24552,1280.961462,17.102639,74.8984681252993,15.9,217.8554,0.000199,14.995552,0.772557,0.074428,0.367518,0.761489546885531,44.986656
2019.10760866931,258.09813,-22.364378,26004,257.82754154,-22.59607214,-0.27059,-0.23169,1282.442195,17.102639,74.9850473368467,14.2,217.6039,0.000204,6.64949,0.772557,0.074428,0.367518,0.708105608526481,19.94847
2019.10760866931,258.09813,-22.364378,9109,257.83342584,-22.12276236,-0.26471,0.24162,1290.235044,17.102639,75.440699180986,15.5,216.2896,0.000144,12.350148,0.772557,0.074428,0.367518,0.739827065641203,37.050444
2019.10760866931,258.09813,-22.364378,25600,258.36883665,-22.60429505,0.2707,-0.23992,1302.180561,17.102639,76.1391596349546,15.7,214.3054,0.000142,13.48351,0.772557,0.074428,0.367518,0.725191356085886,40.45053
2019.10760866931,258.09813,-22.364378,9473,257.83299777,-22.11691266,-0.26514,0.24747,1305.65093,17.102639,76.3420738752657,15.6,213.7358,0.000137,12.522549,0.772557,0.074428,0.367518,0.75094115644122,37.567647
