solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,dr2_rv_template_fe_h,l,b,ecl_lon,ecl_lat
1636042515805110273,Gaia EDR3 3631075715518049024,3631075715518049024,1195867376,2016.0,201.55277635251633,0.028930128,-7.831721854519077,0.017583176,3.409062202621631,0.032620456,104.50688,61.54415,-57.33729862958644,0.042307135,-22.36328954024038,0.017799491,-0.30441082,0.011932351,0.28445095,-0.109593436,-0.15320538,-0.19087663,-0.444717,0.1942721,0.26583222,-0.25760952,383,383,371,12,21.234392,3475.3853,0.21024433,70.0269,31,true,1.568152,,,,,,,,44,15,0.059869897,51,35,0,0.03661378,30.566433,0,0,1.8788353,,,,,,,,,false,404,396549.9584032129,134.10062,2957.1077,11.691622,51,218324.21425061265,103.66102,2106.1362,11.9907875,51,257678.26274224566,72.11909,3572.955,11.2202015,0,0,0,0,0,1.2003595,0.770586,0.29916573,0.4714203,-35.574223,1.0064267,4,5000.0,3.0,-1.5,317.7047844909696,54.03963111868783,202.84125972948598,1.1313127983368876
1636042515805110273,Gaia EDR3 3631089188831339264,3631089188831339264,25273248,2016.0,201.44859346652277,0.031198937,-7.731079716176317,0.019254832,5.459489681478134,0.035636596,153.19896,29.021103,-23.644691120492332,0.040124495,-16.827151819289636,0.019282905,-0.26111245,-0.2345608,-0.0074859043,-0.078549124,0.0655919,-0.070465215,-0.4879363,0.015429528,0.2530884,-0.25961617,468,468,451,17,22.012505,4698.897,0.2602989,116.07801,31,true,1.501784,,,,,,,,53,16,0.055997286,58,41,1,0.048317485,32.722668,0,0,1.8203465,,,,,,,,,false,442,467643.02099231223,166.5721,2807.4512,11.512581,56,224974.26850992354,173.6439,1295.607,11.95821,57,347020.5325260105,167.68333,2069.4993,10.897008,0,0,0,0,0,1.223144,1.061202,0.44562912,0.6155729,,,0,,,,317.57252420967643,54.161160881271805,202.70808666956464,1.1865950919276844
1636042515805110273,Gaia EDR3 3631095407943986048,3631095407943986048,917697734,2016.0,201.46256107603756,0.015887728,-7.612431781932325,0.010019026,0.24389753357271504,0.018328486,13.30702,5.4284234,-5.410166908399841,0.019391371,-0.444830664807196,0.010134555,-0.29108855,-0.31284204,0.05588407,-0.08420495,0.059386395,-0.04488167,-0.5352947,-0.0062059276,0.2593674,-0.29274035,462,335,461,1,0.16793987,819.6444,0.08560083,9.367794,31,true,1.4485804,,,,,,,,53,16,0.027242819,58,40,0,0.06817041,32.85757,0,0,1.0048339,,,,,,,,,false,489,128979.29586467704,27.836208,4633.5083,12.911067,52,54015.46945283193,24.81221,2176.9712,13.507247,56,106379.06019955264,40.744663,2610.871,12.180755,0,0,0,0,0,1.2435681,1.3264923,0.59617996,0.73031235,-7.038054,0.6376879,4,4000.0,3.0,-1.5,317.64174230222716,54.27354823775763,202.67700268043205,1.30193455177448
1636042515805110273,Gaia EDR3 3631096438736162944,3631096438736162944,804498626,2016.0,201.48607745878388,0.024408929,-7.526079147562507,0.014948927,0.5357808951701943,0.026915656,19.90592,26.598688,-25.660402584946684,0.032477714,-7.002424806531324,0.015595185,-0.15143317,-0.28903657,-0.134852,-0.16508095,-0.033651903,-0.16763707,-0.5381368,-0.026487142,0.29203182,-0.21137568,432,432,420,12,15.699174,2378.6997,0.17183134,48.023254,31,true,1.4873765,,,,,,,,49,15,0.04536295,53,38,0,0.025621237,34.162064,0,0,1.5908296,,,,,,,,,false,422,375826.9294102291,112.27604,3347.3477,11.749897,52,175106.02246661688,92.023094,1902.8486,12.230289,52,287373.4588024219,116.42373,2468.341,11.101779,0,0,0,0,0,1.2305651,1.1285105,0.48039246,0.648118,105.258606,0.42023155,5,5250.0,3.0,-0.25,317.7144737503662,54.35228849562656,202.666680986852,1.3907811805653851
1636042515805110273,Gaia EDR3 3631145740665759616,3631145740665759616,1768583155,2016.0,201.3286039416334,0.029063012,-7.449173145677019,0.017160406,1.217447574666694,0.033738147,36.085194,15.334757,-9.50146990635982,0.042072188,12.036479032284506,0.017150804,-0.2818758,-0.16368453,0.069014296,-0.068824075,0.044664457,-0.09047239,-0.47059128,0.106788926,0.25611913,-0.25406405,458,458,457,1,27.516834,3001.4653,0.23333345,72.23365,31,true,1.5950314,,,,,,,,53,16,0.05861643,59,40,0,0.07188621,33.41292,0,0,2.0421743,,,,,,,,,false,491,191462.36384596143,43.987988,4352.6055,12.482159,47,110474.77958546209,103.85575,1063.7329,12.730385,48,116999.13100459627,96.89953,1207.4272,12.077439,0,0,4,0,0,1.1880869,0.6529455,0.24822617,0.40471935,-14.308465,5.0713615,6,6500.0,3.5,0.0,317.4832687059136,54.462667805867326,202.49311720751587,1.4043779894684159
1636042515805110273,Gaia EDR3 3631186628753669888,3631186628753669888,223568736,2016.0,201.57029528068566,0.013335389,-7.5854101072738205,0.009171889,0.40093067658701576,0.014865326,26.970863,16.59477,5.300171069612789,0.01751661,-15.725603933988584,0.009667574,-0.1869666,-0.14163458,-0.018300192,-0.08713499,-0.07662813,-0.078483105,-0.5437854,0.008731762,0.26110867,-0.24059622,405,396,403,2,0.14808458,599.74097,0.06317224,5.165248,31,true,1.4846822,,,,,,,,47,16,0.024503283,54,37,0,0.04112711,23.406395,0,0,1.0044144,,,,,,,,,false,452,155208.30229114872,39.306133,3948.7043,12.710079,52,71595.15366467096,47.49536,1507.4136,13.201333,51,118557.93113290297,55.033367,2154.2917,12.063069,0,0,0,0,0,1.2251476,1.1382637,0.49125385,0.64700985,140.15799,1.1888825,7,5000.0,3.0,-1.5,317.83036793269105,54.27534979887394,202.76622744586163,1.3665652290803734
1636042515805110273,Gaia EDR3 3631191099815174272,3631191099815174272,1252105059,2016.0,201.4804831744431,0.015836349,-7.499323745004589,0.0091248965,1.352385730550849,0.018157242,74.481895,10.8288,-9.999470455049524,0.02032771,4.156139729063214,0.009181443,-0.2610425,-0.33409134,-0.0023137762,-0.14661868,0.02816311,-0.13850056,-0.48362175,0.10579284,0.25188708,-0.24458972,420,367,418,2,-1.2691398,619.25806,0.06392223,5.303224,31,true,1.588924,,,,,,,,49,16,0.02834959,53,36,0,0.059827555,32.574287,0,0,0.9553726,,,,,,,,,false,441,139497.39536705244,35.2172,3961.0586,12.825952,48,79542.83510755563,64.34133,1236.2634,13.08704,45,85782.39628166461,43.461754,1973.7445,12.4144,1,1,1,1,0,1.1851492,0.67263985,0.26108837,0.41155148,,,0,,,,317.7157262557736,54.379602962586894,202.65161813652,1.4135815971243681
1636042515805110273,Gaia EDR3 3631239925003381248,3631239925003381248,1113366011,2016.0,201.40532968017266,0.014403804,-7.382970248504823,0.008744763,0.47218087649735463,0.016356558,28.867987,4.713058,-3.0836168693503008,0.020385955,-3.564298401486796,0.0088032205,-0.26562783,-0.048574217,0.10799392,-0.1054589,-0.071808495,-0.17830636,-0.48754537,0.06156547,0.27923515,-0.26096696,465,422,464,1,2.1478493,798.72626,0.06826131,6.433286,31,true,1.4694223,,,,,,,,53,15,0.028490193,56,38,0,0.048265815,35.025875,0,0,1.0709776,,,,,,,,,false,489,144991.4340998664,32.65766,4439.7373,12.784011,38,64482.66810323289,120.20454,536.4412,13.314935,39,114394.54383443712,84.23282,1358.0757,12.101882,26,1,38,1,0,1.2337089,1.2130527,0.53092384,0.6821289,-0.13035701,0.74578416,2,4000.0,3.0,-1.5,317.63666770715076,54.50990289471432,202.53926773765323,1.4940611999970674
1636042515805110273,Gaia EDR3 3631241265033227392,3631241265033227392,401768490,2016.0,201.5933029535788,0.018100746,-7.333806486530173,0.010620031,0.7584360263463367,0.020345066,37.27862,9.698005,4.513326088842788,0.028206723,-8.583774746186577,0.011333133,-0.15407151,-0.15949407,0.08043095,-0.14426611,-0.051924292,-0.13871819,-0.51109433,0.2942784,0.22936875,-0.161801,441,441,429,12,0.91779983,1346.3577,0.11808245,21.119822,31,true,1.4745736,,,,,,,,50,15,0.039378405,60,51,0,0.0014830349,156.3251,0,0,1.0308881,,,,,,,,,true,447,667228.3117307586,159.4483,4184.606,11.12668,53,302279.8291682973,138.59344,2181.0542,11.637519,55,520466.78057014674,124.974884,4164.571,10.456913,0,53,0,55,0,1.2330811,1.1806059,0.5108385,0.6697674,4.2847543,0.89340204,3,5000.0,3.0,-0.25,317.96867038272063,54.51481090082379,202.69429980003488,1.608752595205534
1636042515805110273,Gaia EDR3 3631244559272698112,3631244559272698112,1086867803,2016.0,201.36825537925014,0.016490664,-7.293934933562275,0.009362998,0.4884907181397877,0.018010445,27.122633,5.64329,-5.593314843238637,0.02345417,0.7493673093924053,0.009505186,-0.20146973,-0.12316342,0.045410663,-0.14321955,0.014073874,-0.18630104,-0.47230688,-0.031476546,0.27629185,-0.2470559,503,503,490,13,8.575188,1381.0966,0.10499157,19.15013,31,true,1.4831251,,,,,,,,57,16,0.032663845,62,44,0,0.042434435,33.10762,0,0,1.2868576,,,,,,,,,false,506,269778.9275868589,62.09234,4344.8022,12.109847,51,124265.87960321347,94.7292,1311.8011,12.602662,51,207389.71080981405,173.47235,1195.5203,11.455928,0,14,0,14,0,1.2293606,1.1467342,0.49281502,0.6539192,-48.329815,1.4278132,3,5500.0,4.5,0.0,317.60986331579267,54.6049700581273,202.4721011737221,1.5631352854575593
