tAF5	 tAFx   starId	    etaS[deg]	sig_eta[mas]   zetaS[deg]	sig_zeta[mas]	etaJup[deg]	zetaJup[deg]	etaSpin[deg]	zetaSpin[deg] jupPosGCX[m]  jupPosGCY[m]  jupPosGCZ[m]  gaiaPosX[m]  gaiaPosY[m]  gaiaPosZ[m]   long_jupGC[deg]   lat_jupGC[deg]  long_gaia[deg]   lat_gaia[deg]   starRA[deg]  starDec[deg] 
2017.145239214684  2017.1452385988002  3631075715518049024  0.44750433292150116  0.09996854147797855  0.14984735116449172  0.37277543215919284  0.012973201425957532  0.02089500799169297  20.471556960709766  22.787461369609243  -6.550937531438849E11  -2.5707526550541425E11  -9.13500871341384E10  -1.3384774081377646E11  6.053463415845926E10  2.6303599210822388E10  201.42629119478758  -7.396121100790168  155.66443035448955  10.151666988691632  201.55277635251633  -7.831721854519078
2017.145239214684  2017.1452385988002  3631485528413582336  -0.5870432151236787  0.0728447358944604  0.05275157455000285  0.3123330046751071  0.012973201425957532  0.02089500799169297  20.471556960709766  22.787461369609243  -6.550937531438849E11  -2.5707526550541425E11  -9.13500871341384E10  -1.3384774081377646E11  6.053463415845926E10  2.6303599210822388E10  201.42629119478758  -7.396121100790168  155.66443035448955  10.151666988691632  201.4634987361527  -6.796371214764134
2017.145239214684  2017.1452385988002  3631191099815174272  0.11571359498925132  0.09182039184012071  0.07548194903165568  0.3391770318832714  0.012973201425957532  0.02089500799169297  20.471556960709766  22.787461369609243  -6.550937531438849E11  -2.5707526550541425E11  -9.13500871341384E10  -1.3384774081377646E11  6.053463415845926E10  2.6303599210822388E10  201.42629119478758  -7.396121100790168  155.66443035448955  10.151666988691632  201.4804831744431  -7.499323745004589
2017.145239214684  2017.1452385988002  3631256894418771584  -0.1456321710183917  0.09682392772019029  -0.0743590297806779  0.3116251692483202  0.012973201425957532  0.02089500799169297  20.471556960709766  22.787461369609243  -6.550937531438849E11  -2.5707526550541425E11  -9.13500871341384E10  -1.3384774081377646E11  6.053463415845926E10  2.6303599210822388E10  201.42629119478758  -7.396121100790168  155.66443035448955  10.151666988691632  201.33164106965066  -7.236694512025911
2017.145239214684  2017.1452385988002  3631266072764288000  -0.26516812204603324  0.10302505722994215  -0.0239834010348809  0.38903693794086575  0.012973201425957532  0.02089500799169297  20.471556960709766  22.787461369609243  -6.550937531438849E11  -2.5707526550541425E11  -9.13500871341384E10  -1.3384774081377646E11  6.053463415845926E10  2.6303599210822388E10  201.42629119478758  -7.396121100790168  155.66443035448955  10.151666988691632  201.3834269424686  -7.117590072993389
2017.145239214684  2017.1452385988002  3631298199119733504  -0.5711044977919257  0.07611586061147359  0.20882256383901046  0.29754099166672676  0.012973201425957532  0.02089500799169297  20.471556960709766  22.787461369609243  -6.550937531438849E11  -2.5707526550541425E11  -9.13500871341384E10  -1.3384774081377646E11  6.053463415845926E10  2.6303599210822388E10  201.42629119478758  -7.396121100790168  155.66443035448955  10.151666988691632  201.62051664240363  -6.813577663001455
2017.145239214684  2017.1452385988002  3631241265033227392  -0.05069711604827266  0.07438804610474478  0.18599858980757153  0.2548928935395088  0.012973201425957532  0.02089500799169297  20.471556960709766  22.787461369609243  -6.550937531438849E11  -2.5707526550541425E11  -9.13500871341384E10  -1.3384774081377646E11  6.053463415845926E10  2.6303599210822388E10  201.42629119478758  -7.396121100790168  155.66443035448955  10.151666988691632  201.5933029535788  -7.333806486530173
2017.145239214684  2017.1452385988002  3631239925003381248  -1.5142253543513102E-7  0.10097501025396843  -3.6707289483535455E-6  0.36818535888800397  0.012973201425957532  0.02089500799169297  20.471556960709766  22.787461369609243  -6.550937531438849E11  -2.5707526550541425E11  -9.13500871341384E10  -1.3384774081377646E11  6.053463415845926E10  2.6303599210822388E10  201.42629119478758  -7.396121100790168  155.66443035448955  10.151666988691632  201.40532968017268  -7.382970248504823
2017.145239214684  2017.1452385988002  3631255107712373376  -0.2825577248056134  0.06525088812426078  0.15729141873063646  0.2726565351402387  0.012973201425957532  0.02089500799169297  20.471556960709766  22.787461369609243  -6.550937531438849E11  -2.5707526550541425E11  -9.13500871341384E10  -1.3384774081377646E11  6.053463415845926E10  2.6303599210822388E10  201.42629119478758  -7.396121100790168  155.66443035448955  10.151666988691632  201.56624983214004  -7.101703793637456
2017.145239214684  2017.1452385988002  3631145740665759616  0.06684246806136937  0.09362104619793904  -0.07551323011487267  0.31184068332915194  0.012973201425957532  0.02089500799169297  20.471556960709766  22.787461369609243  -6.550937531438849E11  -2.5707526550541425E11  -9.13500871341384E10  -1.3384774081377646E11  6.053463415845926E10  2.6303599210822388E10  201.42629119478758  -7.396121100790168  155.66443035448955  10.151666988691632  201.3286039416334  -7.449173145677019
2017.145239214684  2017.1452385988002  3631186628753669888  0.20106747222299676  0.07918941829525468  0.1652206425217245  0.2880647525289096  0.012973201425957532  0.02089500799169297  20.471556960709766  22.787461369609243  -6.550937531438849E11  -2.5707526550541425E11  -9.13500871341384E10  -1.3384774081377646E11  6.053463415845926E10  2.6303599210822388E10  201.42629119478758  -7.396121100790168  155.66443035448955  10.151666988691632  201.57029528068566  -7.585410107273821
2017.145239214684  2017.1452385988002  3631095407943986048  0.22895939134938173  0.09933849769113146  0.05866019713017741  0.33081594587443397  0.012973201425957532  0.02089500799169297  20.471556960709766  22.787461369609243  -6.550937531438849E11  -2.5707526550541425E11  -9.13500871341384E10  -1.3384774081377646E11  6.053463415845926E10  2.6303599210822388E10  201.42629119478758  -7.396121100790168  155.66443035448955  10.151666988691632  201.4625610760376  -7.612431781932324
