pl_name,hostname,pl_orbsmax,pl_radj,pl_massj,st_rad,st_mass,ra,dec,sy_dist,sy_gaiamag
Kepler-299 b,Kepler-299,,,,1.0,1.0,283.2070156,48.5805222,1052.24,15.0103
Kepler-299 c,Kepler-299,0.07,0.236,,1.03,,283.2070156,48.5805222,1052.24,15.0103
Kepler-299 d,Kepler-299,,0.143,,1.0,,283.2070156,48.5805222,1052.24,15.0103
Kepler-299 e,Kepler-299,0.223,,,0.9,1.0,283.2070156,48.5805222,1052.24,15.0103
Kepler-255 b,Kepler-255,,0.135,,0.86,0.9,296.0642702,45.9767647,1052.53,15.5283
Kepler-255 c,Kepler-255,0.092,0.267,,0.93,,296.0642702,45.9767647,1052.53,15.5283
Kepler-255 d,Kepler-255,0.0202,,,0.89,1.01,296.0642702,45.9767647,1052.53,15.5283
Kepler-924 b,Kepler-924,,0.247,,1.32,,290.6685136,40.3977086,1053.04,14.1368
Kepler-1831 b,Kepler-1831,0.0655,,,1.01,1.12,295.3024604,49.5890456,1053.49,15.0112
Kepler-1289 b,Kepler-1289,0.079,,,0.92,1.02,296.388767,41.040509,1053.57,14.5992
Kepler-1420 b,Kepler-1420,0.0669,,,0.79,0.89,296.2038586,42.7778165,1054.37,15.8488
Kepler-1262 b,Kepler-1262,0.083,,,1.03,1.01,288.7718287,42.2131694,1054.87,15.1837
Kepler-860 b,Kepler-860,,0.228,,0.86,,295.5772681,46.2547028,1056.36,15.4033
Kepler-292 b,Kepler-292,,0.12,,0.83,,295.7661979,42.4242822,1056.48,15.9419
Kepler-292 c,Kepler-292,,,,0.84,0.88,295.7661979,42.4242822,1056.48,15.9419
Kepler-292 d,Kepler-292,0.068,,,0.88,0.83,295.7661979,42.4242822,1056.48,15.9419
Kepler-292 e,Kepler-292,0.097,0.238,,0.83,,295.7661979,42.4242822,1056.48,15.9419
Kepler-292 f,Kepler-292,,0.229,,0.81,0.85,295.7661979,42.4242822,1056.48,15.9419
Kepler-1830 b,Kepler-1830,,,,1.75,1.22,295.1390408,40.9790527,1056.88,13.4841
Kepler-1364 b,Kepler-1364,0.1231,,,1.58,1.41,295.1521334,49.5876179,1056.9,13.1858
Kepler-1881 b,Kepler-1881,0.557,,,0.81,0.91,293.6393065,44.9825447,1057.21,15.8603
Kepler-39 b,Kepler-39,0.1635,1.24,20.1,1.4,1.29,296.9603348,46.0342954,1057.41,14.2622
Kepler-524 b,Kepler-524,0.0791,,,1.08,1.04,296.8591787,49.1620125,1058.24,13.8868
Kepler-524 c,Kepler-524,,,,1.62,1.05,296.8591787,49.1620125,1058.24,13.8868
Kepler-1451 b,Kepler-1451,0.2097,,,0.87,0.97,293.4464227,40.4098813,1058.72,15.2999
Kepler-394 b,Kepler-394,,,,0.99,1.1,296.3019792,50.6723115,1058.72,14.77
Kepler-394 c,Kepler-394,,,,0.99,1.1,296.3019792,50.6723115,1058.72,14.77
Kepler-394 d,Kepler-394,0.0647,,,1.15,1.15,296.3019792,50.6723115,1058.72,14.77
Kepler-1886 b,Kepler-1886,0.1595,,,0.83,0.92,296.2645118,39.4059745,1059.51,15.4559
Kepler-541 b,Kepler-541,0.0641,,,2.52,1.36,294.1496529,38.458207,1060.68,13.228
Kepler-1724 b,Kepler-1724,0.0683,,,0.94,1.02,296.1207272,47.9214736,1060.77,14.8169
CoRoT-23 b,CoRoT-23,0.04809,1.18,3.06,1.74,1.12,279.7826586,4.3577516,1060.97,15.0681
Kepler-1740 b,Kepler-1740,0.0779,,,0.91,0.94,293.873663,38.9224548,1061.77,15.2863
Kepler-663 b,Kepler-663,,0.232,,0.82,0.86,297.8082232,47.9466342,1063.09,15.8686
Kepler-643 b,Kepler-643,0.1321,,,2.69,1.15,290.3272423,42.8982283,1063.58,13.7694
Kepler-1578 b,Kepler-1578,0.0252,,,1.02,1.01,288.3021104,47.7756227,1064.05,15.3281
Kepler-1237 b,Kepler-1237,,0.255,,0.9,0.94,295.6292745,44.6905815,1064.31,15.7553
Kepler-781 b,Kepler-781,0.1016,,,0.73,0.81,287.6535874,47.4147762,1064.47,15.9511
Kepler-405 b,Kepler-405,0.0935,,,0.87,0.96,291.4094615,38.3400107,1065.08,15.8023
Kepler-405 c,Kepler-405,0.188,0.416,,0.89,,291.4094615,38.3400107,1065.08,15.8023
Kepler-720 b,Kepler-720,0.0539,,,1.21,0.94,298.6356478,44.1709388,1065.37,15.1635
Kepler-609 b,Kepler-609,,0.271,,1.07,,292.2203009,44.6999902,1065.82,14.8041
Kepler-1396 b,Kepler-1396,,,,1.22,1.06,294.3363936,44.9182296,1066.46,14.5271
OGLE-TR-111 b,OGLE-TR-111,,,,0.98,0.78,163.324115,-61.4056976,1068.33,16.5277
Kepler-757 b,Kepler-757,,0.121,,1.13,1.08,296.6804876,41.3865279,1068.68,14.7637
Kepler-1635 b,Kepler-1635,1.1123,,,0.78,0.83,285.3490542,45.5561768,1069.45,15.6928
Kepler-1790 b,Kepler-1790,0.2039,,,1.03,1.13,294.5668577,46.0757312,1070.17,14.0943
BD+03 2562 b,BD+03 2562,1.3,,,32.35,1.14,177.5647268,2.7601075,1070.63,8.9977
Kepler-723 b,Kepler-723,0.0477,,,0.8,0.87,284.8304434,44.6580932,1071.8,15.201
KIC 8540376 b,KOI-7892,,0.366,,1.26,1.04,282.3775397,44.694569,1072.3,14.2165
KIC 8540376 c,KOI-7892,,0.214,,1.26,1.04,282.3775397,44.694569,1072.3,14.2165
Kepler-457 d,KOI-7892,,,,1.26,1.15,282.3775397,44.694569,1072.3,14.2165
Kepler-1093 b,Kepler-1093,,,,1.41,1.26,284.9780251,41.4202077,1072.88,13.8084
Kepler-1093 c,Kepler-1093,,,,1.41,1.26,284.9780251,41.4202077,1072.88,13.8084
Kepler-759 b,Kepler-759,,,,,,290.1314231,41.3814345,1073.48,14.7869
Kepler-829 b,Kepler-829,0.0679,,,0.8,0.88,282.3328312,42.4638125,1073.76,14.9206
Kepler-1113 b,Kepler-1113,0.23,,,0.97,0.91,289.4066969,39.338813,1073.88,14.7828
Kepler-1244 b,Kepler-1244,0.0502,,,1.93,1.23,282.3012505,46.5161814,1075.81,12.3234
Kepler-765 b,Kepler-765,,,,1.17,1.04,283.1846044,47.1557114,1076.28,14.5996
Kepler-1944 b,Kepler-1944,0.0919,,,0.97,1.07,296.5105045,39.1732645,1076.48,15.3313
Kepler-1160 b,Kepler-1160,,,,0.76,0.95,287.8793899,43.3640752,1077.63,15.8003
Kepler-1374 b,Kepler-1374,0.0918,,,0.83,0.91,291.3499783,45.1722521,1078.46,15.93
HATS-64 b,HATS-64,0.06562,1.679,0.96,2.11,1.56,144.2876092,-29.800444,1080.15,12.839
Kepler-874 b,Kepler-874,,,,1.18,1.03,294.9568477,43.0142991,1082.16,14.6941
Kepler-227 b,Kepler-227,0.085,,,0.99,0.92,291.9342748,48.141676,1083.06,15.3234
Kepler-227 c,Kepler-227,0.2734,,,0.93,0.92,291.9342748,48.141676,1083.06,15.3234
Kepler-1748 b,Kepler-1748,,,,0.77,0.93,285.967897,45.7390789,1083.28,15.8529
Kepler-1128 b,Kepler-1128,0.294,,,0.8,0.9,293.063315,39.4034052,1083.41,15.6861
Kepler-351 b,Kepler-351,0.2112,,,0.84,0.91,286.4527949,42.6577891,1083.91,15.9665
Kepler-351 c,Kepler-351,,0.273,,0.78,0.81,286.4527949,42.6577891,1083.91,15.9665
Kepler-351 d,Kepler-351,,,,0.76,0.91,286.4527949,42.6577891,1083.91,15.9665
Kepler-412 b,Kepler-412,0.02961,1.325,0.927,1.29,1.17,286.1103053,43.6809612,1086.24,14.2486
Kepler-1024 b,Kepler-1024,,0.329,,0.81,,291.9510277,38.2516419,1087.4,16.0064
Kepler-647 b,Kepler-647,0.1224,,,1.05,0.93,284.7882977,44.5916225,1087.87,13.9345
Kepler-647 c,Kepler-647,0.1831,,,1.05,0.93,284.7882977,44.5916225,1087.87,13.9345
Kepler-941 b,Kepler-941,,,,0.93,0.91,294.3262617,47.2175461,1088.36,15.5723
Kepler-713 b,Kepler-713,0.0748,,,0.92,1.01,295.6513819,43.0297781,1089.87,15.0191
Kepler-373 b,Kepler-373,,0.131,,0.9,0.93,289.3879904,50.5970115,1090.45,14.4856
Kepler-373 c,Kepler-373,0.126,0.111,,0.84,,289.3879904,50.5970115,1090.45,14.4856
Kepler-1054 b,Kepler-1054,0.054,,,1.03,1.13,290.6011085,44.5563604,1090.51,14.085
Kepler-362 b,Kepler-362,0.0864,,,0.73,0.81,291.771603,47.5299192,1090.51,14.4863
Kepler-362 c,Kepler-362,,0.17,,0.83,0.86,291.771603,47.5299192,1090.51,14.4863
Kepler-1106 b,Kepler-1106,,0.143,,1.12,,291.1451576,44.0624715,1090.7,14.6276
Kepler-1927 b,Kepler-1927,0.3432,,,0.96,0.99,296.3546093,41.3355698,1091.0,13.2168
Kepler-1744 b,Kepler-1744,,0.336,,0.85,0.89,291.0206823,42.4624633,1091.63,15.2558
Kepler-41 b,Kepler-41,0.0286,,,0.95,0.9,294.5132465,45.9816453,1093.08,14.413
Kepler-1270 b,Kepler-1270,,0.256,,3.08,,286.7156676,48.6452552,1095.05,13.2851
NGTS-18 b,NGTS-18,0.0448,1.21,0.409,1.39,1.0,180.5462193,-35.5486091,1096.19,14.3896
Kepler-1269 b,Kepler-1269,0.222,,,1.09,1.05,287.8055442,45.3405371,1097.23,13.5701
Kepler-194 b,Kepler-194,0.0319,,,1.44,0.99,291.971429,47.8640498,1097.97,14.9117
Kepler-194 c,Kepler-194,,0.261,,1.11,1.09,291.971429,47.8640498,1097.97,14.9117
Kepler-194 d,Kepler-194,,,,1.07,1.02,291.971429,47.8640498,1097.97,14.9117
Kepler-300 b,Kepler-300,,,,1.42,1.07,295.2886934,48.5997243,1098.45,14.1797
Kepler-300 c,Kepler-300,,,,1.42,1.07,295.2886934,48.5997243,1098.45,14.1797
Kepler-358 b,Kepler-358,,0.247,,0.91,0.94,293.2302333,48.2813901,1101.1,15.3559
Kepler-358 c,Kepler-358,0.381,0.254,,0.95,,293.2302333,48.2813901,1101.1,15.3559
Kepler-1077 b,Kepler-1077,0.2101,,,0.97,1.04,291.0336333,42.2678448,1101.42,14.9984
Kepler-1282 b,Kepler-1282,0.033,,,0.89,1.04,290.1761688,46.6983036,1103.29,15.4921
CoRoT-25 b,CoRoT-25,0.0578,1.08,0.27,1.19,1.09,280.6296561,6.5138223,1103.48,14.711
Kepler-838 b,Kepler-838,,0.244,,0.96,0.98,285.4354695,45.975959,1104.04,15.2295
Kepler-217 b,Kepler-217,0.0676,,,1.44,1.43,293.0377331,46.2775223,1104.64,13.1207
Kepler-217 c,Kepler-217,,,,1.79,1.4,293.0377331,46.2775223,1104.64,13.1207
Kepler-217 d,Kepler-217,,0.118,,1.76,1.37,293.0377331,46.2775223,1104.64,13.1207
Kepler-1257 b,Kepler-1257,0.0376,,,0.9,1.0,296.0756231,45.6270165,1105.95,15.5124
Kepler-1306 b,Kepler-1306,,0.17,,0.97,0.98,294.4783627,46.9458638,1107.5,15.212
Kepler-1441 b,Kepler-1441,0.2346,,,1.9,1.11,293.7191177,43.1245756,1110.48,14.2567
Kepler-738 b,Kepler-738,0.16,,,0.79,0.9,287.5696516,46.5679011,1113.65,15.5908
Kepler-1273 b,Kepler-1273,,0.162,,0.72,,285.8032016,44.8733983,1114.24,15.796
Kepler-1633 b,Kepler-1633,0.6407,,,0.92,1.01,288.5151733,44.9232545,1114.91,13.3918
Kepler-1440 b,Kepler-1440,,,,1.6,1.01,285.3469737,48.3122283,1115.35,14.1018
Kepler-1000 b,Kepler-1000,0.5244,,,1.48,1.34,286.6854729,47.0981948,1115.62,13.1923
Kepler-1354 b,Kepler-1354,0.3522,,,1.02,0.99,291.2451266,37.7590079,1119.45,14.3687
Kepler-1153 b,Kepler-1153,0.0277,,,0.83,0.93,289.1471849,45.86613,1119.49,15.7976
Kepler-919 b,Kepler-919,0.0981,,,1.02,1.02,298.1147862,48.4943834,1119.87,14.6785
Kepler-1175 b,Kepler-1175,,0.267,,0.86,0.9,289.1426847,46.8129656,1121.89,15.9163
Kepler-840 b,Kepler-840,0.0355,,,0.99,0.96,296.5073737,49.4572313,1122.19,14.1291
Kepler-1065 b,Kepler-1065,0.046,,,0.89,1.01,294.511319,38.7904648,1122.48,15.5016
Kepler-1065 c,Kepler-1065,0.0344,,,0.87,0.96,294.511319,38.7904648,1122.48,15.5016
Kepler-501 b,Kepler-501,,,,1.14,1.15,297.2014919,41.7301534,1125.24,14.7303
Kepler-501 c,Kepler-501,0.0471,,,0.99,1.06,297.2014919,41.7301534,1125.24,14.7303
Kepler-1538 b,Kepler-1538,,0.252,,1.03,1.03,283.345611,45.2743573,1125.3,15.2279
Kepler-1226 b,Kepler-1226,0.1323,,,0.96,1.03,296.3768521,50.6214592,1125.72,14.1497
CoRoT-12 b,CoRoT-12,0.0394,1.35,0.887,1.05,1.02,100.7656871,-1.2964437,1126.37,15.3453
Kepler-1336 b,Kepler-1336,0.157,,,0.86,0.96,296.2776587,46.8998006,1126.64,14.0381
Kepler-1336 c,Kepler-1336,0.0621,,,0.86,0.96,296.2776587,46.8998006,1126.64,14.0381
Kepler-846 b,Kepler-846,0.1406,,,0.85,0.94,287.0570731,49.0460112,1127.12,15.6041
Kepler-1155 b,Kepler-1155,0.2006,,,1.09,0.96,288.8206058,39.5228712,1128.72,14.7392
Kepler-772 b,Kepler-772,,0.266,,1.83,,291.423582,38.2165603,1130.21,13.9556
Kepler-67 b,Kepler-67,,,,0.82,0.87,294.1533505,46.1663976,1131.19,16.1723
KOI-1599.01,KOI-1599,0.1473,,,0.97,1.02,298.3738383,40.6184483,1131.64,14.854
KOI-1599.02,KOI-1599,0.1125,,,0.97,1.02,298.3738383,40.6184483,1131.64,14.854
Kepler-689 b,Kepler-689,0.1448,,,0.75,0.81,294.7106347,39.5216975,1131.73,15.592
Kepler-1839 b,Kepler-1839,0.0583,,,0.94,1.03,294.2244432,50.0755761,1136.6,14.6231
Kepler-946 b,Kepler-946,,0.172,,0.93,0.94,300.9295551,44.028671,1137.29,14.9234
Kepler-1616 b,Kepler-1616,,,,1.8,1.19,286.5436691,45.3048716,1137.81,13.4295
HATS-15 b,HATS-15,0.02712,1.105,2.17,0.92,0.87,311.0920041,-19.4375266,1139.55,14.6473
Kepler-1144 b,Kepler-1144,,0.253,,1.1,,290.0432936,47.2578857,1140.57,14.9125
Kepler-485 b,Kepler-485,,,,1.09,1.04,294.9963415,50.4700458,1140.95,14.8981
Kepler-635 b,Kepler-635,,,,1.96,1.23,289.7732613,40.8007019,1141.08,13.2638
Kepler-1685 b,Kepler-1685,0.147,,,0.85,1.01,296.1882618,43.9368118,1141.89,15.906
Kepler-187 b,Kepler-187,0.0579,,,1.23,1.06,299.7964955,44.0892448,1143.0,14.1753
Kepler-187 c,Kepler-187,,0.336,,1.61,,299.7964955,44.0892448,1143.0,14.1753
Kepler-276 b,Kepler-276,0.119,0.256,,1.05,,293.568197,39.0363123,1144.86,15.3648
Kepler-276 c,Kepler-276,0.2032,,,1.03,1.1,293.568197,39.0363123,1144.86,15.3648
Kepler-276 d,Kepler-276,0.2694,,,1.03,1.1,293.568197,39.0363123,1144.86,15.3648
Kepler-488 b,Kepler-488,0.0428,,,1.0,1.07,282.9662152,48.3450555,1145.28,14.7515
Kepler-1377 b,Kepler-1377,0.0153,,,0.87,0.87,289.1954229,46.6516055,1146.1,15.8887
CoRoT-13 b,CoRoT-13,0.05107,0.885,1.331,1.01,1.09,102.7211432,-5.0864557,1148.93,14.9147
Kepler-693 b,Kepler-693,,,,0.88,0.78,283.253527,40.3582155,1151.51,16.414
Kepler-1464 b,Kepler-1464,,,,1.71,1.0,287.2356828,38.7540824,1151.73,14.1296
Kepler-1464 c,Kepler-1464,,,,1.71,1.0,287.2356828,38.7540824,1151.73,14.1296
Kepler-1004 b,Kepler-1004,0.0665,,,3.79,1.41,297.3593427,49.7975464,1152.68,13.3998
Kepler-592 b,Kepler-592,,,,1.17,1.08,285.7907395,48.6832431,1153.13,14.6275
Kepler-1275 b,Kepler-1275,0.0488,,,1.27,1.16,293.5004955,44.9324455,1153.98,14.4061
Kepler-1438 b,Kepler-1438,0.033,,,0.85,0.89,289.289819,40.6816262,1154.13,14.861
Kepler-24 b,Kepler-24,0.076,,,1.24,0.88,290.4132621,38.3437283,1156.81,14.9234
Kepler-24 c,Kepler-24,,,,1.09,1.11,290.4132621,38.3437283,1156.81,14.9234
Kepler-24 d,Kepler-24,0.0492,,,1.24,0.88,290.4132621,38.3437283,1156.81,14.9234
Kepler-24 e,Kepler-24,0.1378,,,1.09,0.96,290.4132621,38.3437283,1156.81,14.9234
Kepler-703 b,Kepler-703,,,,1.06,1.05,299.1868586,41.742699,1156.83,15.2533
Kepler-734 b,Kepler-734,0.0583,,,0.71,0.71,297.0456122,46.0273893,1157.21,14.4119
Kepler-1184 b,Kepler-1184,,0.219,,1.02,,291.282031,46.9659514,1157.84,14.9314
Kepler-1469 b,Kepler-1469,0.1466,,,0.79,0.89,293.8213286,39.3913385,1159.3,15.9891
Kepler-602 b,Kepler-602,0.1231,,,0.99,1.06,296.0318985,42.1418634,1159.31,14.4779
Kepler-1682 b,Kepler-1682,,0.258,,0.84,0.99,293.9835827,39.5728474,1159.85,15.678
Kepler-315 b,Kepler-315,,,,1.0,1.04,298.0230967,43.3634761,1160.63,15.2885
Kepler-315 c,Kepler-315,0.7733,,,1.0,0.88,298.0230967,43.3634761,1160.63,15.2885
Kepler-894 b,Kepler-894,,0.248,,0.85,0.87,288.7340513,46.939363,1162.91,15.4056
Kepler-59 b,Kepler-59,0.1042,,,1.01,1.07,287.0394932,46.6401677,1163.22,14.2786
Kepler-59 c,Kepler-59,,,,1.33,1.12,287.0394932,46.6401677,1163.22,14.2786
Kepler-902 b,Kepler-902,,,,1.21,0.99,289.7317067,46.953875,1165.34,14.8583
Kepler-843 b,Kepler-843,,0.204,,0.98,,296.3219786,48.9714373,1165.66,15.2481
Kepler-1413 b,Kepler-1413,,,,0.82,0.85,294.3416065,46.4987624,1167.49,16.2846
Kepler-370 b,Kepler-370,0.0534,,,0.87,0.97,292.1710683,40.9162381,1167.94,15.1595
Kepler-370 c,Kepler-370,,,,1.05,1.0,292.1710683,40.9162381,1167.94,15.1595
Kepler-671 b,Kepler-671,0.05,,,0.83,0.91,294.2657519,49.3140933,1168.26,15.3578
Kepler-769 b,Kepler-769,0.0763,,,1.01,1.07,292.7130925,38.3581685,1169.57,14.7604
Kepler-769 c,Kepler-769,,,,1.14,1.1,292.7130925,38.3581685,1169.57,14.7604
Kepler-645 b,Kepler-645,0.0442,,,1.27,1.07,290.3227098,44.0358625,1173.57,14.0305
Kepler-1295 b,Kepler-1295,,0.125,,0.84,,291.3978451,45.588553,1174.46,15.9075
Kepler-38 b,Kepler-38,0.4632,0.384,0.384,1.75,0.94,286.830312,42.2791434,1174.59,13.9066
Kepler-1204 b,Kepler-1204,,0.225,,0.92,,289.4415238,42.4981476,1175.22,15.295
Kepler-1202 b,Kepler-1202,,,,0.91,0.99,292.290606,44.6532281,1175.38,15.6084
CoRoT-17 b,CoRoT-17,0.0461,1.02,2.43,1.59,1.04,278.699236,-6.612288,1176.12,15.4368
Kepler-1210 b,Kepler-1210,0.078,,,0.9,0.96,292.8321598,48.2193376,1176.53,15.566
Kepler-1919 b,Kepler-1919,0.2107,,,0.82,0.87,283.1319153,43.956005,1177.53,15.8602
Kepler-74 b,Kepler-74,,,,1.44,1.05,293.0925275,41.3555095,1177.55,14.3652
Kepler-1233 b,Kepler-1233,,0.202,,1.14,,297.3750954,46.6622201,1178.7,14.6594
Kepler-1550 b,Kepler-1550,0.7333,,,0.96,1.03,287.7646113,38.2947076,1179.01,14.8841
Kepler-1474 b,Kepler-1474,0.2233,,,1.15,1.12,294.6940261,45.866809,1180.9,15.2172
Kepler-938 b,Kepler-938,,,,,,294.7890593,46.9839352,1182.05,
Kepler-873 b,Kepler-873,,,,1.09,1.1,296.4031319,51.2712773,1182.22,14.7952
Kepler-1129 b,Kepler-1129,,0.297,,0.96,,291.6044965,41.3093275,1183.88,15.2572
Kepler-1129 c,Kepler-1129,,,,1.03,0.99,291.6044965,41.3093275,1183.88,15.2572
Kepler-216 b,Kepler-216,,,,1.63,1.14,293.7280695,46.1291139,1187.47,13.9607
